type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
anchors,Anchor N280,stack release,0.0,,0.83,,False,-900.0,0.8,0.0,1.3,1,,0.83,False,-900.25,1,0,,,,,,,,,N280
miscs,RBRquartz TP,213896,,0.6,0.31,,False,-0.25,0.11,0.0,1.3,5,,,True,,1,1,0.6,Anchor N280,stack release,True,0.0,0.83,False,False,N280
rigging,16mmBS,,0.83,,0.06,,False,-0.65,0.025,0.0,1.3,1,,0.8899999999999999,False,-0.65,2,2,,,,,,,,,N280
chains,3/8 chain SL,,0.8899999999999999,,1.8,,True,-4.194,0.022,0.0,1.3,1,Standard for above anchor,2.69,False,-4.194,3,3,,,,,,,,,N280
rigging,16mmBS,,2.69,,0.06,,False,-0.65,0.025,0.0,1.3,1,,2.75,False,-0.65,4,4,,,,,,,,,N280
rigging,10mm Load Ring,,2.75,,0.155,,False,0.5,0.025,0.0,1.3,1,,2.905,False,0.5,5,5,,,,,,,,,N280
arcels,Ribuck Dual Kit for Sonardyne ORT (UWA),,2.905,,0.94,,False,-35.0,0.28,0.0,1.3,1,,3.8449999999999998,False,-35.0,6,6,,,,,,,,,N280
arcels,Sonardyne ORT,290238-004 [A4],,3.255,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,7,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.905,3.8449999999999998,True,True,N280
arcels,Sonardyne ORT,284837-003 [95],,3.255,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,8,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.905,3.8449999999999998,True,True,N280
rigging,16mmBS,,3.8449999999999998,,0.06,,False,-0.65,0.025,0.0,1.3,1,,3.905,False,-0.65,7,9,,,,,,,,,N280
rigging,8mm Load Ring,,3.905,,0.13,,False,0.5,0.025,0.0,1.3,1,,4.035,False,0.5,8,10,,,,,,,,,N280
rigging,16mmBS,,4.035,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.095,False,-0.65,9,11,,,,,,,,,N280
miscs,Swivel (UWA),,4.095,,0.2,,False,-4.0,0.06,0.0,1.3,1,,4.295,False,-4.0,10,12,,,,,,,,,N280
rigging,16mmBS,,4.295,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.3549999999999995,False,-0.65,11,13,,,,,,,,,N280
rigging,8mm Load Ring,,4.3549999999999995,,0.13,,False,0.5,0.025,0.0,1.3,1,,4.484999999999999,False,0.5,12,14,,,,,,,,,N280
rigging,16mmBS,,4.484999999999999,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.544999999999999,False,-0.65,13,15,,,,,,,,,N280
cms,75kHz+30in_sph (UWA),,4.544999999999999,,1.72,,False,20.0,0.0,0.76,0.5,4,,6.264999999999999,False,20.0,14,16,,,,,,,,,N280
cms,Longranger,24613,,5.984999999999999,1.0,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,14,17,1.44,75kHz+30in_sph (UWA),,True,4.544999999999999,6.264999999999999,True,True,N280
rigging,16mmBS,,6.264999999999999,,0.06,,False,-0.65,0.025,0.0,1.3,1,,6.324999999999998,False,-0.65,15,18,,,,,,,,,N280
rigging,8mm Load Ring,,6.324999999999998,,0.13,,False,0.5,0.025,0.0,1.3,1,,6.454999999999998,False,0.5,16,19,,,,,,,,,N280
rigging,13mmBS,,6.454999999999998,,0.047,,False,-0.65,0.025,0.0,1.3,1,,6.501999999999998,False,-0.65,17,20,,,,,,,,,N280
wires,3/8 wire rope,,6.501999999999998,,195.0,A,True,-64.35000000000001,0.009,0.0,1.3,1,The RPS special,201.502,False,-69.65,18,21,,,,,,,,,N280
miscs,Zn Anode (UWA),,,9.201999999999998,0.2,A,False,-0.05,0.025,0.0,1.3,5,,,True,,18,22,2.7,3/8 wire rope,,True,6.501999999999998,201.502,False,False,N280
miscs,SBE39 ext. T (UWA),3719,,11.2,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,18,39,4.698000000000001,3/8 wire rope,,True,6.501999999999998,201.502,False,False,N280
miscs,SBE39 ext. T (UWA),3753,,16.2,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,18,40,9.698,3/8 wire rope,,True,6.501999999999998,201.502,False,False,N280
miscs,SBE39 ext. T (UWA),3721,,21.2,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,18,41,14.698,3/8 wire rope,,True,6.501999999999998,201.502,False,False,N280
miscs,SBE39 ext. T (UWA),3722,,31.2,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,18,42,24.698,3/8 wire rope,,True,6.501999999999998,201.502,False,False,N280
