type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
anchors,Anchor S245,stack non-release,0.0,,0.8,,False,-900.0,0.8,0.0,1.3,1,,0.8,False,-900.05,1,0,,,,,,,,,S245
miscs,SBE56 T (UWA),7372,,0.6,0.3,,False,-0.05,0.025,0.0,1.3,5,,,True,,1,1,0.6,Anchor S245,stack non-release,True,0.0,0.8,False,False,S245
rigging,16mmBS,,0.8,,0.06,,False,-0.65,0.025,0.0,1.3,1,,0.8600000000000001,False,-0.65,2,2,,,,,,,,,S245
chains,3/8 chain SL,,0.8600000000000001,,1.8,,True,-4.194,0.022,0.0,1.3,1,Standard for above anchor,2.66,False,-4.194,3,3,,,,,,,,,S245
rigging,16mmBS,,2.66,,0.06,,False,-0.65,0.025,0.0,1.3,1,,2.72,False,-0.65,4,4,,,,,,,,,S245
rigging,10mm Load Ring,,2.72,,0.155,,False,0.5,0.025,0.0,1.3,1,,2.875,False,0.5,5,5,,,,,,,,,S245
arcels,Ribuck Dual Kit for Sonardyne ORT (UWA),,2.875,,0.94,,False,-35.0,0.28,0.0,1.3,1,,3.815,False,-35.0,6,6,,,,,,,,,S245
arcels,Sonardyne ORT,284837-002 [93],,3.225,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,7,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.875,3.815,True,True,S245
arcels,Sonardyne ORT,284837-004 [99],,3.225,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,8,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.875,3.815,True,True,S245
rigging,16mmBS,,3.815,,0.06,,False,-0.65,0.025,0.0,1.3,1,,3.875,False,-0.65,7,9,,,,,,,,,S245
rigging,8mm Load Ring,,3.875,,0.13,,False,0.5,0.025,0.0,1.3,1,,4.005,False,0.5,8,10,,,,,,,,,S245
rigging,16mmBS,,4.005,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.0649999999999995,False,-0.65,9,11,,,,,,,,,S245
miscs,Swivel (UWA),,4.0649999999999995,,0.2,,False,-4.0,0.06,0.0,1.3,1,,4.265,False,-4.0,10,12,,,,,,,,,S245
rigging,16mmBS,,4.265,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.324999999999999,False,-0.65,11,13,,,,,,,,,S245
