type,name,serial,bottom_height,height,length,section,bool_line,buoyancy,width,diameter,drag,material,comment,top_height,bool_clampon,total_buoyancy,num_inline,id,height_along_inline,clamped_to_name,clamped_to_serial,bool_fit,inline_bottom,inline_top,passive_weight,passive_drag,mooring
anchors,Anchor W310,side-by-side,0.0,,0.48,,False,-900.0,0.8,0.0,1.3,1,,0.48,False,-900.25,1,0,,,,,,,,,W310
miscs,RBRquartz TP,213895,,0.48,0.31,,False,-0.25,0.11,0.0,1.3,5,,,True,,1,1,0.48,Anchor W310,side-by-side,True,0.0,0.48,False,False,W310
rigging,16mmBS,,0.48,,0.06,,False,-0.65,0.025,0.0,1.3,1,,0.54,False,-0.65,2,2,,,,,,,,,W310
chains,3/8 chain SL,,0.54,,2.0,,True,-4.66,0.022,0.0,1.3,1,Standard for above anchor,2.54,False,-4.66,3,3,,,,,,,,,W310
rigging,16mmBS,,2.54,,0.06,,False,-0.65,0.025,0.0,1.3,1,,2.6,False,-0.65,4,4,,,,,,,,,W310
rigging,10mm Load Ring,,2.6,,0.155,,False,0.5,0.025,0.0,1.3,1,,2.755,False,0.5,5,5,,,,,,,,,W310
arcels,Ribuck Dual Kit for Sonardyne ORT (UWA),,2.755,,0.94,,False,-35.0,0.28,0.0,1.3,1,,3.695,False,-35.0,6,6,,,,,,,,,W310
arcels,Sonardyne ORT,262762-001 [65],,3.105,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,7,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.755,3.695,True,True,W310
arcels,Sonardyne ORT,262762-002 [64],,3.105,0.7,,False,0.0,0.0,0.0,0.0,1,,,True,,6,8,0.35,Ribuck Dual Kit for Sonardyne ORT (UWA),,False,2.755,3.695,True,True,W310
rigging,16mmBS,,3.695,,0.06,,False,-0.65,0.025,0.0,1.3,1,,3.755,False,-0.65,7,9,,,,,,,,,W310
rigging,8mm Load Ring,,3.755,,0.13,,False,0.5,0.025,0.0,1.3,1,,3.885,False,0.5,8,10,,,,,,,,,W310
rigging,16mmBS,,3.885,,0.06,,False,-0.65,0.025,0.0,1.3,1,,3.945,False,-0.65,9,11,,,,,,,,,W310
miscs,Swivel (UWA),,3.945,,0.2,,False,-4.0,0.06,0.0,1.3,1,,4.145,False,-4.0,10,12,,,,,,,,,W310
rigging,16mmBS,,4.145,,0.06,,False,-0.65,0.025,0.0,1.3,1,,4.204999999999999,False,-0.65,11,13,,,,,,,,,W310
rigging,8mm Load Ring,,4.204999999999999,,0.13,,False,0.5,0.025,0.0,1.3,1,,4.334999999999999,False,0.5,12,14,,,,,,,,,W310
rigging,13mmBS,,4.334999999999999,,0.047,,False,-0.65,0.025,0.0,1.3,1,,4.381999999999999,False,-0.65,13,15,,,,,,,,,W310
wires,3/8 wire rope,,4.381999999999999,,26.0,A,True,-8.58,0.009,0.0,1.3,1,The RPS special,30.381999999999998,False,-10.230000000000002,14,16,,,,,,,,,W310
miscs,FLNTUSB (UWA),2997,,4.98,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,55,0.5980000000000016,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,SBE39 T (UWA),3975,,5.08,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,56,0.6980000000000013,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,Zn Anode (UWA),,,7.481999999999999,0.2,A,False,-0.05,0.025,0.0,1.3,5,,,True,,14,17,3.1,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,FLNTUSB (UWA),3194,,9.38,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,57,4.998000000000002,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,SBE56 T (UWA),7343,,9.88,0.3,A,False,-0.05,0.025,0.0,1.3,5,,,True,,14,58,5.498000000000002,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,SBE39 ext. T (UWA),3799,,14.88,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,59,10.498000000000001,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,FLNTUSB (UWA),1835,,19.38,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,60,14.998000000000001,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,SBE56 T (UWA),7344,,19.88,0.3,A,False,-0.05,0.025,0.0,1.3,5,,,True,,14,61,15.498000000000001,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
miscs,SBE39 sync. T (UWA),4456,,24.88,0.31,A,False,-0.25,0.11,0.0,1.3,5,,,True,,14,62,20.498,3/8 wire rope,,True,4.381999999999999,30.381999999999998,False,False,W310
rigging,13mmBS,,30.381999999999998,,0.047,,False,-0.65,0.025,0.0,1.3,1,,30.429,False,-0.65,15,18,,,,,,,,,W310
rigging,8mm Load Ring,,30.429,,0.13,,False,0.5,0.025,0.0,1.3,1,,30.558999999999997,False,0.5,16,19,,,,,,,,,W310
rigging,16mmBS,,30.558999999999997,,0.06,,False,-0.65,0.025,0.0,1.3,1,,30.618999999999996,False,-0.65,17,20,,,,,,,,,W310
cms,75kHz+40in+Ti300kHz (UWA),,30.618999999999996,,2.3,,False,85.8,0.0,1.016,0.75,4,,32.919,False,85.8,18,21,,,,,,,,,W310
cms,Sentinel,20089,,30.988999999999997,0.4,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,18,22,0.37,75kHz+40in+Ti300kHz (UWA),,True,30.618999999999996,32.919,True,True,W310
cms,Longranger,16870,,32.549,1.0,,False,0.0,0.0,0.0,0.0,1,# Check lengths,,True,,18,23,1.93,75kHz+40in+Ti300kHz (UWA),,True,30.618999999999996,32.919,True,True,W310
rigging,16mmBS,,32.919,,0.06,,False,-0.65,0.025,0.0,1.3,1,,32.979,False,-0.65,19,24,,,,,,,,,W310
rigging,8mm Load Ring,,32.979,,0.13,,False,0.5,0.025,0.0,1.3,1,,33.109,False,0.5,20,25,,,,,,,,,W310
rigging,13mmBS,,33.109,,0.047,,False,-0.65,0.025,0.0,1.3,1,,33.156,False,-0.65,21,26,,,,,,,,,W310
wires,3/8 wire rope,,33.156,,167.0,B,True,-55.11,0.009,0.0,1.3,1,The RPS special,200.156,False,-55.959999999999965,22,27,,,,,,,,,W310
miscs,SBE56 T (UWA),7345,,33.56,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,63,0.40400000000000347,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,Zn Anode (UWA),,,37.656,0.2,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,28,4.5,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,SBE56 T (UWA),7346,,45.56,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,64,12.404000000000003,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,SBE56 T (UWA),7347,,58.06,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,65,24.904000000000003,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,SBE56 T (UWA),7369,,70.56,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,66,37.404,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,SBE56 T (UWA),7370,,83.06,0.3,B,False,-0.05,0.025,0.0,1.3,5,,,True,,22,67,49.904,3/8 wire rope,,True,33.156,200.156,False,False,W310
miscs,SBE37 SMP titanium CTP (UWA),11063,,95.46,0.56,B,False,0.0,0.1,0.0,1.3,1,,,True,,22,68,62.303999999999995,3/8 wire rope,,True,33.156,200.156,False,False,W310
